net,length_um
bgc_4.row_reg._042_,234.35
bgc_3.row_reg._043_,234.17
bgc_2.lfsr_col._25_,233.41
bgc_10.lfsr_col._25_,233.31
res_mem_inst.slot\[8\].slot_reg._043_,233.18
bgc_10.row_reg._043_,231.83
res_mem_inst.slot\[6\].slot_reg._043_,231.42
bgc_6.lfsr_col._25_,231.22
res_mem_inst.slot\[1\].slot_reg._043_,231.07
bgc_2.col_reg._042_,230.71
bgc_4.row_reg._041_,229.59
bgc_10.prev_step_output\[0\],229.19
bgc_8.col_reg._042_,228.78
res_mem_inst._050_,228.17
bgc_6.col_reg._041_,227.91
bgc_5.row_reg._043_,227.78
res_mem_inst.slot\[11\].slot_reg._042_,227.45
bgc_6.row_reg._042_,226.69
bgc_6.row_reg._041_,226.64
bgc_8.col_reg._041_,226.18
bgc_6.lfsr_row._25_,226.08
bgc_14.col_reg._042_,226.03
res_mem_inst.slot\[11\].slot_reg._043_,225.21
res_mem_inst.slot\[14\].slot_reg._043_,225.01
bgc_6.row_reg._043_,224.98
clknet_leaf_125_clk,224.4
bgc_3.row_reg._042_,224.12
bgc_0.lfsr_row._25_,224.09
res_mem_inst.slot\[4\].slot_reg._041_,223.38
bgc_0.row_reg._041_,223.02
bgc_15.lfsr_col._25_,222.77
bgc_9.row_reg._042_,222.41
bgc_2.col_reg._043_,221.85
res_mem_inst.slot\[5\].slot_reg._042_,221.8
bgc_14.lfsr_row._25_,221.75
bgc_3.lfsr_row._25_,221.29
clknet_leaf_17_clk,221.09
clknet_leaf_111_clk,219.92
bgc_12.lfsr_col._25_,219.61
bgc_0.lfsr_col._25_,219.56
clknet_leaf_67_clk,217.98
bgc_11.lfsr_row._25_,217.22
bgc_3.col_reg._041_,215.69
res_mem_inst.slot\[14\].slot_reg._042_,215.69
bgc_9.row_reg._041_,215.64
bgc_11.lfsr_col._25_,214.67
bgc_3.col_reg._042_,214.42
res_mem_inst.slot\[5\].slot_reg._043_,214.24
bgc_7.row_reg._042_,212.79
clknet_leaf_118_clk,212.74
clknet_leaf_33_clk,212.59
bgc_14.col_reg._041_,210.85
bgc_1.col_reg._043_,210.78
clknet_leaf_115_clk,210.45
bgc_14._00_,210.4
bgc_4.final_counter._16_,208.82
bgc_8.col_reg._043_,208.72
clknet_leaf_170_clk,208.31
bgc_1.row_reg._043_,208.26
clknet_leaf_113_clk,208.16
bgc_4.final_counter._09_,208.01
clknet_leaf_150_clk,206.53
res_mem_inst.slot\[10\].slot_reg.mode\[1\],206.38
clknet_leaf_76_clk,206.38
bgc_11.row_reg._041_,206.17
clknet_leaf_77_clk,205.61
clknet_leaf_137_clk,205.36
bgc_3.col_reg._043_,205.11
bgc_12.col_reg._041_,205
clknet_leaf_27_clk,203.38
bgc_12.col_reg._042_,202.45
res_mem_inst.slot\[7\].slot_reg._043_,202.25
bgc_11.row_reg._042_,201.41
res_mem_inst.slot\[0\].slot_reg._043_,201.05
clknet_leaf_104_clk,199.71
bgc_1.col_reg._041_,199.32
clknet_leaf_138_clk,199.15
res_mem_inst.slot\[9\].slot_reg._043_,199
bgc_13.row_reg._043_,198.48
net3,196.76
clknet_leaf_131_clk,196.35
bgc_0.col_reg._043_,195.43
res_mem_inst.slot\[3\].slot_reg._043_,195.17
clknet_leaf_60_clk,194.67
clknet_leaf_154_clk,193.75
bgc_14.col_reg._043_,193.44
bgc_11._03_,193.25
bgc_6.col_reg._043_,193.14
bgc_6.final_counter._16_,192.94
timer_inst._03_,192.07
bgc_7.col_reg._043_,192.02
clknet_leaf_143_clk,191.69
clknet_leaf_160_clk,191.36
res_mem_inst.slot\[7\].slot_reg._041_,191.23
