Instance name,  X location,  Y location,  Voltage 
FILLER_0_92_1947, 1096.56, 372.4, -0.0367722
FILLER_0_93_1951, 1096.56, 372.4, -0.0367722
FILLER_0_94_1951, 1096.56, 372.4, -0.0367722
FILLER_0_94_1954, 1096.56, 372.4, -0.0367722
TAP_2859, 1096.56, 364.56, -0.036572
FILLER_0_90_1947, 1096.56, 364.56, -0.036572
FILLER_0_91_1951, 1096.56, 364.56, -0.036572
FILLER_0_92_1951, 1096.56, 364.56, -0.036572
FILLER_0_92_1954, 1096.56, 364.56, -0.036572
TAP_2804, 1096.56, 356.72, -0.0367449
FILLER_0_88_1947, 1096.56, 356.72, -0.0367449
FILLER_0_89_1951, 1096.56, 356.72, -0.0367449
FILLER_0_90_1951, 1096.56, 356.72, -0.0367449
FILLER_0_90_1954, 1096.56, 356.72, -0.0367449
TAP_2749, 1096.56, 348.88, -0.0363066
FILLER_0_86_1947, 1096.56, 348.88, -0.0363066
FILLER_0_87_1951, 1096.56, 348.88, -0.0363066
FILLER_0_88_1951, 1096.56, 348.88, -0.0363066
FILLER_0_88_1954, 1096.56, 348.88, -0.0363066
TAP_2694, 1096.56, 341.04, -0.036311
FILLER_0_84_1947, 1096.56, 341.04, -0.036311
FILLER_0_85_1951, 1096.56, 341.04, -0.036311
FILLER_0_86_1951, 1096.56, 341.04, -0.036311
FILLER_0_86_1954, 1096.56, 341.04, -0.036311
TAP_2639, 1096.56, 333.2, -0.0357728
FILLER_0_82_1947, 1096.56, 333.2, -0.0357728
FILLER_0_83_1951, 1096.56, 333.2, -0.0357728
FILLER_0_84_1951, 1096.56, 333.2, -0.0357728
FILLER_0_84_1954, 1096.56, 333.2, -0.0357728
TAP_2584, 1096.56, 325.36, -0.035883
FILLER_0_80_1947, 1096.56, 325.36, -0.035883
FILLER_0_81_1951, 1096.56, 325.36, -0.035883
FILLER_0_82_1951, 1096.56, 325.36, -0.035883
FILLER_0_82_1954, 1096.56, 325.36, -0.035883
TAP_2529, 1096.56, 317.52, -0.0353572
FILLER_0_78_1947, 1096.56, 317.52, -0.0353572
FILLER_0_79_1951, 1096.56, 317.52, -0.0353572
FILLER_0_80_1951, 1096.56, 317.52, -0.0353572
FILLER_0_80_1954, 1096.56, 317.52, -0.0353572
TAP_2474, 1096.56, 309.68, -0.0353333
FILLER_0_76_1947, 1096.56, 309.68, -0.0353333
FILLER_0_77_1951, 1096.56, 309.68, -0.0353333
FILLER_0_78_1951, 1096.56, 309.68, -0.0353333
FILLER_0_78_1954, 1096.56, 309.68, -0.0353333
TAP_2419, 1096.56, 301.84, -0.034808
FILLER_0_74_1947, 1096.56, 301.84, -0.034808
FILLER_0_75_1951, 1096.56, 301.84, -0.034808
FILLER_0_76_1951, 1096.56, 301.84, -0.034808
FILLER_0_76_1954, 1096.56, 301.84, -0.034808
TAP_2364, 1096.56, 294, -0.0345256
FILLER_0_72_1947, 1096.56, 294, -0.0345256
FILLER_0_73_1951, 1096.56, 294, -0.0345256
FILLER_0_74_1951, 1096.56, 294, -0.0345256
FILLER_0_74_1954, 1096.56, 294, -0.0345256
TAP_2309, 1096.56, 286.16, -0.0343285
FILLER_0_70_1947, 1096.56, 286.16, -0.0343285
FILLER_0_71_1951, 1096.56, 286.16, -0.0343285
FILLER_0_72_1951, 1096.56, 286.16, -0.0343285
FILLER_0_72_1954, 1096.56, 286.16, -0.0343285
TAP_2254, 1096.56, 278.32, -0.0336071
FILLER_0_68_1947, 1096.56, 278.32, -0.0336071
FILLER_0_69_1951, 1096.56, 278.32, -0.0336071
FILLER_0_70_1951, 1096.56, 278.32, -0.0336071
FILLER_0_70_1954, 1096.56, 278.32, -0.0336071
TAP_2199, 1096.56, 270.48, -0.0330749
FILLER_0_66_1947, 1096.56, 270.48, -0.0330749
FILLER_0_67_1951, 1096.56, 270.48, -0.0330749
FILLER_0_68_1951, 1096.56, 270.48, -0.0330749
FILLER_0_68_1954, 1096.56, 270.48, -0.0330749
TAP_2144, 1096.56, 262.64, -0.0324961
FILLER_0_64_1947, 1096.56, 262.64, -0.0324961
FILLER_0_65_1951, 1096.56, 262.64, -0.0324961
FILLER_0_66_1951, 1096.56, 262.64, -0.0324961
