net,length_um
core.bgc_6.row_reg._041_,237.94
core.res_mem_inst.slot\[2\].slot_reg._041_,237.74
core.bgc_5.col_reg._042_,237.58
core.res_mem_inst.slot\[8\].slot_reg._041_,236.92
core.res_mem_inst.slot\[14\].slot_reg._042_,235.65
core.bgc_13.lfsr_row._25_,235.42
core.bgc_14.col_reg._042_,234.58
core.bgc_0.row_reg._043_,234.22
core.bgc_13.lfsr_col._25_,234.02
core.bgc_2.col_reg._041_,232.9
core.res_mem_inst.slot\[8\].slot_reg._042_,231.98
core.bgc_11.col_reg._043_,230.3
core.res_mem_inst.slot\[5\].slot_reg._042_,230.15
core.bgc_15.lfsr_col._25_,230
core.bgc_5.lfsr_row._25_,229.64
core.bgc_7.lfsr_col._25_,228.98
core.bgc_3.lfsr_row._25_,228.47
core.res_mem_inst.slot\[13\].slot_reg._043_,227.63
core.bgc_3.lfsr_col._25_,226.74
core.res_mem_inst.slot\[12\].slot_reg._041_,226.74
core.bgc_10.row_reg._041_,226.58
core.res_mem_inst.slot\[10\].slot_reg._042_,226.33
core.bgc_4.row_reg._043_,225.52
core.bgc_1.lfsr_col._25_,225.36
core.bgc_12.prev_step_output\[0\],225.32
core.bgc_9.lfsr_col._25_,224.96
core.bgc_9.col_reg._043_,223.43
core.res_mem_inst.slot\[9\].slot_reg._043_,222.82
core.bgc_7.lfsr_row._25_,222.64
core.bgc_8.col_reg._043_,222.26
core.bgc_6.lfsr_row._25_,221.73
core.bgc_0.lfsr_col._25_,221.42
core.bgc_8.lfsr_row._25_,220.58
core.res_mem_inst.slot\[7\].slot_reg._041_,220.48
core.bgc_12.lfsr_row._25_,219.3
core.bgc_1.row_reg._042_,218.64
core.bgc_4.final_counter._16_,218.24
clknet_3_0_0_clk,217.48
core.bgc_5.row_reg._043_,217.32
clknet_leaf_78_clk,217.27
core.bgc_2.col_reg._042_,216.81
core.bgc_1.row_reg._043_,215.29
core.bgc_15.comp_row.x,213.46
core.res_mem_inst._017_,213
core.bgc_6.row_reg._043_,212.44
core.bgc_9.col_reg._042_,212.28
core.bgc_15.lfsr_row._25_,211.85
core.bgc_5.col_reg._041_,211.72
core.bgc_9.final_counter._16_,211.42
core.bgc_4.lfsr_row._25_,211.21
core.bgc_12.col_reg._042_,210.96
core.bgc_1.col_reg._041_,210.7
core.res_mem_inst.slot\[10\].slot_reg._043_,209.99
core.res_mem_inst.slot\[15\].slot_reg._042_,209.89
core.bgc_0.col_reg._043_,209.28
core.res_mem_inst.slot\[1\].slot_reg._043_,209.23
core.bgc_10.row_reg._043_,209.12
core.bgc_2.lfsr_col._25_,207.14
core.res_mem_inst.slot\[3\].slot_reg._041_,206.78
core.bgc_5.row_reg._041_,206.63
core.res_mem_inst.slot\[15\].slot_reg._041_,206.48
core.bgc_14.col_reg._041_,206.12
clknet_3_7_0_clk,205.62
core.bgc_15.row_reg._043_,204.62
clknet_3_5_0_clk,204.6
core.bgc_11.lfsr_row._25_,204.24
core.res_mem_inst._004_,204.09
clknet_leaf_89_clk,204.09
core.bgc_15.col_reg._041_,203.32
clknet_3_4_0_clk,203.02
core.bgc_9.col_reg._041_,202.35
core.bgc_8.final_counter._09_,201.39
core.bgc_2.row_reg._041_,200.57
core.bgc_5.lfsr_col._25_,200.11
core.bgc_14.row_reg._041_,200.01
core.bgc_3.col_reg._041_,199.7
core.bgc_12.col_reg._041_,197.72
core.bgc_15.col_reg._043_,197.01
core.res_mem_inst.slot\[5\].slot_reg._043_,196.91
core.bgc_4.col_reg._042_,196.7
core.bgc_7.row_reg._042_,196.19
core.bgc_6.lfsr_col._25_,195.2
core.res_mem_inst.slot\[15\].slot_reg._043_,194.64
clknet_leaf_208_clk,194.06
core.bgc_11.final_counter._16_,193.6
core.bgc_13.row_reg._043_,193.47
core.bgc_15.col_reg._042_,192.48
core.bgc_3.row_reg._042_,192.32
clknet_leaf_163_clk,191.97
core.bgc_13.col_reg._041_,189.37
net10,188.26
core.bgc_12.row_reg._043_,187.97
core.bgc_2.col_reg._043_,186.42
core.bgc_7.prev_step_output\[0\],186.27
core.res_mem_inst.slot\[4\].slot_reg._043_,185.66
core.res_mem_inst.slot\[3\].slot_reg._042_,185.4
clknet_leaf_65_clk,184.23
clknet_leaf_181_clk,184.03
core.mode_col_g0,183.73
core.bgc_13.final_counter._09_,183.68
core.bgc_3.row_reg._043_,183.11
core.res_mem_inst._049_,182.76
core.res_mem_inst.slot\[11\].slot_reg._043_,182.66
core.res_mem_inst.slot\[8\].slot_reg._043_,182.65
clknet_leaf_124_clk,181.79
net12,181.59
clknet_leaf_123_clk,180.21
core.timer_inst._16_,179.65
clknet_leaf_174_clk,179.65
clknet_leaf_58_clk,179.4
core.bgc_10.comp_row.x,178.79
core.res_mem_inst._021_,178.69
core.adder_tree._0695_,177.62
core.res_mem_inst.slot\[6\].slot_reg._043_,175.48
clknet_leaf_82_clk,175.12
core.res_mem_inst.slot\[15\].slot_reg.mode\[1\],174.77
clknet_3_2_0_clk,174.54
core.bgc_7.col_reg._043_,174.46
clknet_leaf_73_clk,174.46
core.bgc_13.final_counter._16_,173.85
core.bgc_12.col_reg._043_,172.22
core.res_mem_inst.slot\[12\].slot_reg._043_,172.22
core.bgc_9.final_counter._09_,172.17
core.bgc_9.row_reg._043_,171.91
clknet_3_3_0_clk,170.34
core.bgc_14._00_,169.88
core.res_mem_inst._008_,167.18
core.res_mem_inst.slot\[3\].slot_reg._043_,167.13
core.res_mem_inst.slot\[12\].slot_reg.mode\[1\],166.93
core.bgc_15.final_counter._16_,165.4
core.bgc_1.col_reg._042_,165.04
core.res_mem_inst.slot\[10\].slot_reg._041_,165.04
core.bgc_3.final_counter._16_,164.79
core.res_mem_inst.slot\[12\].slot_reg._042_,163.92
core.res_mem_inst.slot\[2\].slot_reg._043_,162.88
core.bgc_5.final_counter._09_,162.7
core.res_mem_inst.slot\[2\].slot_reg._042_,162.29
core.bgc_5.final_counter._16_,161.78
core.res_mem_inst._005_,161.53
core.bgc_4.col_reg._043_,161.43
core.bgc_10.final_counter._09_,160.97
core.bgc_7.row_reg._041_,160.69
clknet_leaf_92_clk,160.51
clknet_3_6_0_clk,160.26
core.bgc_14.col_reg._043_,159.9
core.bgc_8.col_reg._042_,158.88
core.adder_tree.r\[10\]\[6\],158.42
core.bgc_1.col_reg._043_,158.27
core.bgc_7.lfsr_col.seed_mem\[2\],158.17
core.bgc_9.lfsr_col.seed_mem\[3\],158.17
core.res_mem_inst.slot\[6\].slot_reg._042_,157.15
core.bgc_8.row_reg._043_,157.05
core.res_mem_inst._006_,157.05
core.bgc_5.col_reg._043_,156.87
core.bgc_10.row_reg._042_,156.49
core.bgc_14.row_reg._042_,155.98
core.res_mem_inst.slot\[7\].slot_reg._042_,155.98
core.res_mem_inst.slot\[6\].slot_reg._041_,155.47
core.res_mem_inst.slot\[7\].slot_reg._043_,155.32
core.bgc_4.col_reg.mode\[0\],153.81
core.bgc_12.row_reg._041_,152.87
core.bgc_15.lfsr_row.seed_mem\[4\],152.47
core.bgc_6.final_counter._09_,151.96
core.bgc_13.prev_step_output\[0\],151.5
core.bgc_12.final_counter._16_,150.89
core.res_mem_inst.slot\[13\].slot_reg.mode\[1\],150.33
clknet_3_1_0_clk,150.13
core.bgc_6.col_reg._042_,149.87
core.bgc_14.row_reg._043_,149.82
core.bgc_8.row_reg._041_,148.8
clknet_leaf_134_clk,148.75
core.bgc_0.lfsr_row.seed_mem\[8\],148.65
core.bgc_14.comp_row.x,148.55
core.bgc_14.lfsr_col.seed_mem\[6\],148.37
core.bgc_13.lfsr_col.seed_mem\[5\],147.48
core.bgc_2.final_counter._16_,146.97
core.bgc_10.col_reg._041_,145.9
core.bgc_10.col_reg._042_,145.75
core.bgc_7.row_reg._043_,145.7
core.bgc_4.col_reg._041_,145.44
core.bgc_10.col_reg._043_,143.15
core.bgc_2.row_reg._042_,143.05
core.res_mem_inst.slot\[14\].slot_reg._043_,142.59
core.res_mem_inst.slot\[7\].slot_reg.mode\[0\],142.29
core.bgc_13.col_reg._042_,142.18
core.bgc_8.prev_step_output\[0\],141.78
clknet_leaf_26_clk,141.52
core.timer_inst._03_,140.76
core.bgc_7.lfsr_row.seed_mem\[3\],140.71
core.bgc_12.row_reg._042_,140.55
core.bgc_2.lfsr_row.seed_mem\[2\],140.4
core.bgc_6.col_reg._041_,140.3
core.bgc_4.final_counter._09_,140.25
core.bgc_13.col_reg._043_,139.74
core.bgc_14.final_counter._09_,139.08
core.bgc_14.final_counter._16_,138.77
core.bgc_4.lfsr_col.seed_mem\[2\],138.57
clknet_leaf_144_clk,138.16
core.bgc_15.lfsr_row.seed_mem\[5\],138.01
core.bgc_7.final_counter._09_,138.01
clknet_leaf_64_clk,137.4
clknet_leaf_6_clk,136.84
core.bgc_2.row_reg._043_,134.6
core.bgc_15.lfsr_row.seed_mem\[6\],133.89
core.bgc_0.col_reg.q\[8\],133.43
core.res_mem_inst.slot\[4\].slot_reg.mode\[1\],133.43
core.bgc_15.lfsr_row.seed_mem\[7\],132.31
core.bgc_1.lfsr_row.seed_mem\[3\],131.85
core.bgc_9.lfsr_col.seed_mem\[2\],131.29
core.bgc_9.lfsr_row.seed_mem\[4\],131.29
core.bgc_15.col_reg.mode\[0\],131.19
core.bgc_11.final_counter._09_,129.56
clknet_leaf_168_clk,129.56
core.res_mem_inst.slot\[11\].slot_reg.mode\[1\],129.05
core.bgc_6.lfsr_col.seed_mem\[5\],128.64
clknet_leaf_133_clk,128.44
clknet_leaf_71_clk,128.34
clknet_leaf_14_clk,128.03
clknet_leaf_70_clk,127.88
core.bgc_7.lfsr_row.seed_mem\[8\],127.83
core.lfsr_enabler.timer_done,127.37
clknet_leaf_192_clk,127.37
core.bgc_8.row_reg._042_,126.86
core.bgc_6.col_reg._043_,126.76
core.bgc_0.comp_row.x,126.1
core.bgc_7.col_reg._042_,125.74
clknet_leaf_69_clk,125.18
core.bgc_15.lfsr_row.seed_mem\[3\],124.67
clknet_leaf_171_clk,124.52
core.adder_tree._0700_,124.42
core.bgc_7.col_reg._041_,124.06
clknet_leaf_135_clk,124.06
core.bgc_4.lfsr_row.seed_mem\[4\],123.65
clknet_leaf_100_clk,123.5
core.bgc_11.lfsr_col.seed_mem\[4\],123.45
core.bgc_12.final_counter._09_,123.45
core.bgc_3.col_reg._043_,123.32
core.res_mem_inst.slot\[4\].slot_reg.mode\[0\],122.69
core.bgc_2.lfsr_col.seed_mem\[5\],122.43
core.bgc_15.lfsr_row.seed_mem\[2\],121.16
clknet_leaf_180_clk,121.06
core.bgc_3.col_reg._042_,121.05
