Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error
214,12'h0D6,0.5625,1
215,12'h0D7,0.0938,1
216,12'h0D8,0.9062,1
217,12'h0D9,0.4062,1
218,12'h0DA,0.6562,1
219,12'h0DB,0.1562,1
220,12'h0DC,0.7812,1
221,12'h0DD,0.2812,1
222,12'h0DE,0.5000,1
223,12'h0DF,0.0312,1
224,12'h0E0,0.9688,1
225,12'h0E1,0.4688,1
226,12'h0E2,0.7188,1
227,12'h0E3,0.2188,1
228,12'h0E4,0.8438,1
229,12'h0E5,0.3438,1
230,12'h0E6,0.5938,1
231,12'h0E7,0.0938,1
232,12'h0E8,0.9062,1
233,12'h0E9,0.4062,1
234,12'h0EA,0.6875,1
235,12'h0EB,0.1562,1
236,12'h0EC,0.7812,1
237,12'h0ED,0.2812,1
238,12'h0EE,0.5312,1
239,12'h0EF,0.0312,1
240,12'h0F0,0.9375,1
241,12'h0F1,0.4375,1
242,12'h0F2,0.6875,1
243,12'h0F3,0.1875,1
244,12'h0F4,0.8125,1
245,12'h0F5,0.3125,1
246,12'h0F6,0.5625,1
247,12'h0F7,0.0625,1
248,12'h0F8,0.9062,1
249,12'h0F9,0.4062,1
250,12'h0FA,0.6250,1
251,12'h0FB,0.1250,1
252,12'h0FC,0.7500,1
253,12'h0FD,0.2500,1
254,12'h0FE,0.5000,1
255,12'h0FF,0.0000,0
256,12'h100,1.0000,1
257,12'h101,0.5000,1
258,12'h102,0.7500,1
259,12'h103,0.2500,1
260,12'h104,0.8750,1
261,12'h105,0.3750,1
262,12'h106,0.6250,1
263,12'h107,0.1250,1
264,12'h108,0.9375,1
265,12'h109,0.4375,1
266,12'h10A,0.6875,1
267,12'h10B,0.1875,1
268,12'h10C,0.8125,1
269,12'h10D,0.3125,1
270,12'h10E,0.5625,1
271,12'h10F,0.0625,1
272,12'h110,0.9688,1
273,12'h111,0.4688,1
274,12'h112,0.7188,1
275,12'h113,0.2188,1
276,12'h114,0.8438,1
277,12'h115,0.3438,1
278,12'h116,0.5625,1
279,12'h117,0.0938,1
280,12'h118,0.9062,1
281,12'h119,0.4062,1
282,12'h11A,0.6562,1
283,12'h11B,0.1562,1
284,12'h11C,0.7812,1
285,12'h11D,0.2812,1
286,12'h11E,0.5312,1
287,12'h11F,0.0312,1
288,12'h120,1.0000,1
289,12'h121,0.5000,1
290,12'h122,0.7500,1
291,12'h123,0.2188,1
292,12'h124,0.8438,1
293,12'h125,0.3750,1
294,12'h126,0.5938,1
295,12'h127,0.1250,1
296,12'h128,0.9062,1
297,12'h129,0.4062,1
298,12'h12A,0.6875,1
299,12'h12B,0.1875,1
300,12'h12C,0.7812,1
301,12'h12D,0.3125,1
302,12'h12E,0.5625,1
303,12'h12F,0.0625,1
304,12'h130,0.9375,1
305,12'h131,0.4688,1
306,12'h132,0.6875,1
307,12'h133,0.1875,1
308,12'h134,0.8438,1
309,12'h135,0.3438,1
310,12'h136,0.5625,1
311,12'h137,0.0938,1
312,12'h138,0.9062,1
313,12'h139,0.4062,1
314,12'h13A,0.6562,1
315,12'h13B,0.1562,1
316,12'h13C,0.7812,1
317,12'h13D,0.2500,1
318,12'h13E,0.5000,1
319,12'h13F,0.0000,0
320,12'h140,1.0000,1
321,12'h141,0.5000,1
322,12'h142,0.7500,1
323,12'h143,0.2500,1
324,12'h144,0.8438,1
325,12'h145,0.3750,1
326,12'h146,0.5938,1
327,12'h147,0.1250,1
328,12'h148,0.9375,1
329,12'h149,0.4062,1
330,12'h14A,0.6875,1
331,12'h14B,0.1875,1
332,12'h14C,0.8125,1
333,12'h14D,0.3125,1
334,12'h14E,0.5625,1
335,12'h14F,0.0625,1
336,12'h150,0.9688,1
337,12'h151,0.4688,1
338,12'h152,0.7188,1
339,12'h153,0.2188,1
340,12'h154,0.8438,1
341,12'h155,0.3438,1
342,12'h156,0.5625,1
343,12'h157,0.0938,1
344,12'h158,0.9062,1
345,12'h159,0.4062,1
346,12'h15A,0.6562,1
347,12'h15B,0.1562,1
348,12'h15C,0.7812,1
349,12'h15D,0.2812,1
350,12'h15E,0.5000,1
351,12'h15F,0.0312,1
352,12'h160,1.0000,1
353,12'h161,0.4688,1
354,12'h162,0.7188,1
355,12'h163,0.2188,1
356,12'h164,0.8438,1
357,12'h165,0.3438,1
358,12'h166,0.5938,1
359,12'h167,0.0938,1
360,12'h168,0.9062,1
361,12'h169,0.4062,1
362,12'h16A,0.6875,1
363,12'h16B,0.1562,1
364,12'h16C,0.7812,1
365,12'h16D,0.2812,1
366,12'h16E,0.5312,1
367,12'h16F,0.0312,1
368,12'h170,0.9375,1
369,12'h171,0.4375,1
370,12'h172,0.6875,1
371,12'h173,0.1875,1
372,12'h174,0.8125,1
373,12'h175,0.3125,1
374,12'h176,0.5625,1
375,12'h177,0.0625,1
376,12'h178,0.9062,1
377,12'h179,0.4062,1
378,12'h17A,0.6250,1
379,12'h17B,0.1250,1
380,12'h17C,0.7500,1
381,12'h17D,0.2500,1
382,12'h17E,0.5000,1
383,12'h17F,0.0000,0
384,12'h180,1.0000,1
385,12'h181,0.5000,1
386,12'h182,0.7500,1
387,12'h183,0.2500,1
388,12'h184,0.8750,1
389,12'h185,0.3750,1
390,12'h186,0.6250,1
391,12'h187,0.1250,1
392,12'h188,0.9375,1
393,12'h189,0.4062,1
394,12'h18A,0.6875,1
395,12'h18B,0.1875,1
396,12'h18C,0.8125,1
397,12'h18D,0.3125,1
398,12'h18E,0.5625,1
399,12'h18F,0.0625,1
400,12'h190,0.9688,1
401,12'h191,0.4688,1
402,12'h192,0.7188,1
403,12'h193,0.2188,1
404,12'h194,0.8438,1
405,12'h195,0.3438,1
406,12'h196,0.5625,1
407,12'h197,0.0938,1
408,12'h198,0.9062,1
409,12'h199,0.4062,1
410,12'h19A,0.6562,1
411,12'h19B,0.1562,1
