Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error,Correlation Score
696,12'h2B8,0.8750,1,0.1305
697,12'h2B9,0.3750,1,0.1305
698,12'h2BA,0.6250,1,0.1307
699,12'h2BB,0.1250,1,0.1306
700,12'h2BC,0.7500,1,0.1307
701,12'h2BD,0.2500,1,0.1306
702,12'h2BE,0.5000,1,0.1307
703,12'h2BF,0.0000,0,0.1306
704,12'h2C0,0.9688,1,0.1305
705,12'h2C1,0.4688,1,0.1306
706,12'h2C2,0.7188,1,0.1306
707,12'h2C3,0.2188,1,0.1306
708,12'h2C4,0.8438,1,0.1305
709,12'h2C5,0.3438,1,0.1306
710,12'h2C6,0.5938,1,0.1305
711,12'h2C7,0.0938,1,0.1305
712,12'h2C8,0.9062,1,0.1305
713,12'h2C9,0.4062,1,0.1306
714,12'h2CA,0.6562,1,0.1305
715,12'h2CB,0.1562,1,0.1306
716,12'h2CC,0.7812,1,0.1305
717,12'h2CD,0.2812,1,0.1305
718,12'h2CE,0.5312,1,0.1304
719,12'h2CF,0.0312,1,0.1303
720,12'h2D0,0.9375,1,0.1303
721,12'h2D1,0.4375,1,0.1304
722,12'h2D2,0.6875,1,0.1305
723,12'h2D3,0.1875,1,0.1305
724,12'h2D4,0.8125,1,0.1305
725,12'h2D5,0.3125,1,0.1305
726,12'h2D6,0.5625,1,0.1306
727,12'h2D7,0.0625,1,0.1305
728,12'h2D8,0.8750,1,0.1305
729,12'h2D9,0.3750,1,0.1305
730,12'h2DA,0.6250,1,0.1306
731,12'h2DB,0.1250,1,0.1305
732,12'h2DC,0.7500,1,0.1306
733,12'h2DD,0.2500,1,0.1306
734,12'h2DE,0.5000,1,0.1306
735,12'h2DF,0.0000,0,0.1304
736,12'h2E0,0.9688,1,0.1304
737,12'h2E1,0.4688,1,0.1306
738,12'h2E2,0.7188,1,0.1305
739,12'h2E3,0.2188,1,0.1306
740,12'h2E4,0.8438,1,0.1305
741,12'h2E5,0.3438,1,0.1305
742,12'h2E6,0.5938,1,0.1306
743,12'h2E7,0.0938,1,0.1305
744,12'h2E8,0.9062,1,0.1306
745,12'h2E9,0.4062,1,0.1306
746,12'h2EA,0.6562,1,0.1305
747,12'h2EB,0.1562,1,0.1305
748,12'h2EC,0.7812,1,0.1305
749,12'h2ED,0.2812,1,0.1305
750,12'h2EE,0.5312,1,0.1304
751,12'h2EF,0.0312,1,0.1303
752,12'h2F0,0.9375,1,0.1304
753,12'h2F1,0.4375,1,0.1304
754,12'h2F2,0.6875,1,0.1305
755,12'h2F3,0.1875,1,0.1305
756,12'h2F4,0.8125,1,0.1306
757,12'h2F5,0.3125,1,0.1305
758,12'h2F6,0.5625,1,0.1307
759,12'h2F7,0.0625,1,0.1306
760,12'h2F8,0.8750,1,0.1305
761,12'h2F9,0.3750,1,0.1306
762,12'h2FA,0.6250,1,0.1305
763,12'h2FB,0.1250,1,0.1305
764,12'h2FC,0.7500,1,0.1306
765,12'h2FD,0.2500,1,0.1306
766,12'h2FE,0.5000,1,0.1307
767,12'h2FF,0.0000,0,0.1305
768,12'h300,0.9688,1,0.1305
769,12'h301,0.4688,1,0.1307
770,12'h302,0.7188,1,0.1306
771,12'h303,0.2188,1,0.1306
772,12'h304,0.8438,1,0.1305
773,12'h305,0.3438,1,0.1306
774,12'h306,0.5938,1,0.1306
775,12'h307,0.0938,1,0.1306
776,12'h308,0.9062,1,0.1306
777,12'h309,0.4062,1,0.1307
778,12'h30A,0.6562,1,0.1305
779,12'h30B,0.1562,1,0.1306
780,12'h30C,0.7812,1,0.1305
781,12'h30D,0.2812,1,0.1305
782,12'h30E,0.5312,1,0.1305
783,12'h30F,0.0312,1,0.1304
784,12'h310,0.9375,1,0.1303
785,12'h311,0.4375,1,0.1304
786,12'h312,0.6875,1,0.1305
787,12'h313,0.1875,1,0.1305
788,12'h314,0.8125,1,0.1305
789,12'h315,0.3125,1,0.1305
790,12'h316,0.5625,1,0.1306
791,12'h317,0.0625,1,0.1306
792,12'h318,0.8750,1,0.1305
793,12'h319,0.3750,1,0.1305
794,12'h31A,0.6250,1,0.1305
795,12'h31B,0.1250,1,0.1305
796,12'h31C,0.7500,1,0.1306
797,12'h31D,0.2500,1,0.1305
798,12'h31E,0.5000,1,0.1306
799,12'h31F,0.0000,0,0.1305
800,12'h320,0.9688,1,0.1305
801,12'h321,0.4688,1,0.1306
802,12'h322,0.7188,1,0.1306
803,12'h323,0.2188,1,0.1306
804,12'h324,0.8438,1,0.1305
805,12'h325,0.3438,1,0.1306
806,12'h326,0.5938,1,0.1305
807,12'h327,0.0938,1,0.1305
808,12'h328,0.9062,1,0.1305
809,12'h329,0.4062,1,0.1306
810,12'h32A,0.6562,1,0.1305
811,12'h32B,0.1562,1,0.1306
812,12'h32C,0.7812,1,0.1305
813,12'h32D,0.2812,1,0.1305
814,12'h32E,0.5312,1,0.1304
815,12'h32F,0.0312,1,0.1303
816,12'h330,0.9375,1,0.1303
817,12'h331,0.4375,1,0.1304
818,12'h332,0.6875,1,0.1305
819,12'h333,0.1875,1,0.1305
820,12'h334,0.8125,1,0.1306
821,12'h335,0.3125,1,0.1305
822,12'h336,0.5625,1,0.1306
823,12'h337,0.0625,1,0.1305
824,12'h338,0.8750,1,0.1305
825,12'h339,0.3750,1,0.1305
826,12'h33A,0.6250,1,0.1306
827,12'h33B,0.1250,1,0.1305
828,12'h33C,0.7500,1,0.1306
829,12'h33D,0.2500,1,0.1306
830,12'h33E,0.5000,1,0.1306
831,12'h33F,0.0000,0,0.1304
832,12'h340,0.9688,1,0.1306
833,12'h341,0.4688,1,0.1308
834,12'h342,0.7188,1,0.1306
835,12'h343,0.2188,1,0.1307
836,12'h344,0.8438,1,0.1306
837,12'h345,0.3438,1,0.1307
838,12'h346,0.5938,1,0.1305
839,12'h347,0.0938,1,0.1305
840,12'h348,0.9062,1,0.1305
841,12'h349,0.4062,1,0.1306
842,12'h34A,0.6562,1,0.1305
843,12'h34B,0.1562,1,0.1305
844,12'h34C,0.7812,1,0.1305
845,12'h34D,0.2812,1,0.1305
846,12'h34E,0.5312,1,0.1305
847,12'h34F,0.0312,1,0.1304
848,12'h350,0.9375,1,0.1304
849,12'h351,0.4375,1,0.1305
850,12'h352,0.6875,1,0.1305
851,12'h353,0.1875,1,0.1305
852,12'h354,0.8125,1,0.1305
853,12'h355,0.3125,1,0.1305
854,12'h356,0.5625,1,0.1305
855,12'h357,0.0625,1,0.1304
856,12'h358,0.8750,1,0.1305
857,12'h359,0.3750,1,0.1305
858,12'h35A,0.6250,1,0.1306
859,12'h35B,0.1250,1,0.1305
860,12'h35C,0.7500,1,0.1306
861,12'h35D,0.2500,1,0.1306
862,12'h35E,0.5000,1,0.1307
863,12'h35F,0.0000,0,0.1305
864,12'h360,0.9688,1,0.1306
865,12'h361,0.4688,1,0.1308
866,12'h362,0.7188,1,0.1306
867,12'h363,0.2188,1,0.1307
868,12'h364,0.8438,1,0.1305
869,12'h365,0.3438,1,0.1306
870,12'h366,0.5938,1,0.1305
871,12'h367,0.0938,1,0.1305
872,12'h368,0.9062,1,0.1305
873,12'h369,0.4062,1,0.1305
874,12'h36A,0.6562,1,0.1305
875,12'h36B,0.1562,1,0.1305
876,12'h36C,0.7812,1,0.1305
877,12'h36D,0.2812,1,0.1305
878,12'h36E,0.5312,1,0.1305
879,12'h36F,0.0312,1,0.1304
880,12'h370,0.9375,1,0.1305
881,12'h371,0.4375,1,0.1306
882,12'h372,0.6875,1,0.1305
883,12'h373,0.1875,1,0.1305
884,12'h374,0.8125,1,0.1305
885,12'h375,0.3125,1,0.1305
886,12'h376,0.5625,1,0.1306
887,12'h377,0.0625,1,0.1305
888,12'h378,0.8750,1,0.1306
889,12'h379,0.3750,1,0.1305
890,12'h37A,0.6250,1,0.1306
891,12'h37B,0.1250,1,0.1306
892,12'h37C,0.7500,1,0.1307
893,12'h37D,0.2500,1,0.1306
894,12'h37E,0.5000,1,0.1308
895,12'h37F,0.0000,0,0.1307
896,12'h380,0.9688,1,0.1302
897,12'h381,0.4688,1,0.1306
898,12'h382,0.7188,1,0.1305
899,12'h383,0.2188,1,0.1306
900,12'h384,0.8438,1,0.1305
901,12'h385,0.3438,1,0.1305
902,12'h386,0.5938,1,0.1305
903,12'h387,0.0938,1,0.1305
904,12'h388,0.9062,1,0.1304
905,12'h389,0.4062,1,0.1304
906,12'h38A,0.6562,1,0.1305
907,12'h38B,0.1562,1,0.1305
908,12'h38C,0.7812,1,0.1306
909,12'h38D,0.2812,1,0.1305
910,12'h38E,0.5312,1,0.1307
911,12'h38F,0.0312,1,0.1306
912,12'h390,0.9375,1,0.1306
913,12'h391,0.4375,1,0.1307
914,12'h392,0.6875,1,0.1306
915,12'h393,0.1875,1,0.1306
916,12'h394,0.8125,1,0.1305
917,12'h395,0.3125,1,0.1306
918,12'h396,0.5625,1,0.1305
919,12'h397,0.0625,1,0.1305
920,12'h398,0.8750,1,0.1305
921,12'h399,0.3750,1,0.1305
922,12'h39A,0.6250,1,0.1305
923,12'h39B,0.1250,1,0.1305
924,12'h39C,0.7500,1,0.1305
925,12'h39D,0.2500,1,0.1304
926,12'h39E,0.5000,1,0.1305
927,12'h39F,0.0000,0,0.1303
928,12'h3A0,0.9688,1,0.1303
929,12'h3A1,0.4688,1,0.1305
930,12'h3A2,0.7188,1,0.1305
931,12'h3A3,0.2188,1,0.1305
932,12'h3A4,0.8438,1,0.1305
933,12'h3A5,0.3438,1,0.1305
934,12'h3A6,0.5938,1,0.1305
935,12'h3A7,0.0938,1,0.1304
936,12'h3A8,0.9062,1,0.1304
937,12'h3A9,0.4062,1,0.1304
938,12'h3AA,0.6562,1,0.1306
939,12'h3AB,0.1562,1,0.1305
940,12'h3AC,0.7812,1,0.1306
941,12'h3AD,0.2812,1,0.1305
942,12'h3AE,0.5312,1,0.1307
943,12'h3AF,0.0312,1,0.1305
944,12'h3B0,0.9375,1,0.1305
945,12'h3B1,0.4375,1,0.1307
946,12'h3B2,0.6875,1,0.1305
947,12'h3B3,0.1875,1,0.1306
948,12'h3B4,0.8125,1,0.1305
949,12'h3B5,0.3125,1,0.1306
950,12'h3B6,0.5625,1,0.1304
951,12'h3B7,0.0625,1,0.1304
952,12'h3B8,0.8750,1,0.1305
953,12'h3B9,0.3750,1,0.1305
954,12'h3BA,0.6250,1,0.1305
955,12'h3BB,0.1250,1,0.1305
956,12'h3BC,0.7500,1,0.1306
957,12'h3BD,0.2500,1,0.1305
958,12'h3BE,0.5000,1,0.1305
959,12'h3BF,0.0000,0,0.1302
960,12'h3C0,0.9688,1,0.1302
961,12'h3C1,0.4688,1,0.1305
962,12'h3C2,0.7188,1,0.1306
963,12'h3C3,0.2188,1,0.1305
964,12'h3C4,0.8438,1,0.1305
965,12'h3C5,0.3438,1,0.1305
966,12'h3C6,0.5938,1,0.1306
967,12'h3C7,0.0938,1,0.1305
968,12'h3C8,0.9062,1,0.1304
969,12'h3C9,0.4062,1,0.1305
970,12'h3CA,0.6562,1,0.1305
971,12'h3CB,0.1562,1,0.1305
972,12'h3CC,0.7812,1,0.1306
973,12'h3CD,0.2812,1,0.1305
974,12'h3CE,0.5312,1,0.1306
975,12'h3CF,0.0312,1,0.1304
976,12'h3D0,0.9375,1,0.1305
977,12'h3D1,0.4375,1,0.1306
978,12'h3D2,0.6875,1,0.1306
979,12'h3D3,0.1875,1,0.1306
980,12'h3D4,0.8125,1,0.1305
981,12'h3D5,0.3125,1,0.1306
982,12'h3D6,0.5625,1,0.1305
983,12'h3D7,0.0625,1,0.1305
984,12'h3D8,0.8750,1,0.1306
985,12'h3D9,0.3750,1,0.1306
986,12'h3DA,0.6250,1,0.1305
987,12'h3DB,0.1250,1,0.1305
988,12'h3DC,0.7500,1,0.1306
989,12'h3DD,0.2500,1,0.1305
990,12'h3DE,0.5000,1,0.1305
991,12'h3DF,0.0000,0,0.1303
992,12'h3E0,0.9688,1,0.1302
993,12'h3E1,0.4688,1,0.1304
994,12'h3E2,0.7188,1,0.1305
995,12'h3E3,0.2188,1,0.1305
996,12'h3E4,0.8438,1,0.1305
997,12'h3E5,0.3438,1,0.1305
998,12'h3E6,0.5938,1,0.1306
999,12'h3E7,0.0938,1,0.1306
1000,12'h3E8,0.9062,1,0.1305
1001,12'h3E9,0.4062,1,0.1306
1002,12'h3EA,0.6562,1,0.1305
1003,12'h3EB,0.1562,1,0.1305
1004,12'h3EC,0.7812,1,0.1306
1005,12'h3ED,0.2812,1,0.1305
1006,12'h3EE,0.5312,1,0.1306
1007,12'h3EF,0.0312,1,0.1305
1008,12'h3F0,0.9375,1,0.1305
1009,12'h3F1,0.4375,1,0.1306
1010,12'h3F2,0.6875,1,0.1305
1011,12'h3F3,0.1875,1,0.1306
1012,12'h3F4,0.8125,1,0.1305
1013,12'h3F5,0.3125,1,0.1305
1014,12'h3F6,0.5625,1,0.1305
1015,12'h3F7,0.0625,1,0.1305
1016,12'h3F8,0.8750,1,0.1306
1017,12'h3F9,0.3750,1,0.1306
1018,12'h3FA,0.6250,1,0.1305
1019,12'h3FB,0.1250,1,0.1305
1020,12'h3FC,0.7500,1,0.1305
1021,12'h3FD,0.2500,1,0.1305
1022,12'h3FE,0.5000,1,0.1304
1023,12'h3FF,0.0000,0,0.1301
1024,12'h400,0.9688,1,0.1303
1025,12'h401,0.4688,1,0.1306
1026,12'h402,0.7188,1,0.1305
1027,12'h403,0.2188,1,0.1305
1028,12'h404,0.8438,1,0.1305
1029,12'h405,0.3438,1,0.1305
1030,12'h406,0.5938,1,0.1305
1031,12'h407,0.0938,1,0.1305
1032,12'h408,0.9062,1,0.1305
1033,12'h409,0.4062,1,0.1304
1034,12'h40A,0.6562,1,0.1306
1035,12'h40B,0.1562,1,0.1305
1036,12'h40C,0.7812,1,0.1306
1037,12'h40D,0.2812,1,0.1305
1038,12'h40E,0.5312,1,0.1307
1039,12'h40F,0.0312,1,0.1305
1040,12'h410,0.9375,1,0.1305
1041,12'h411,0.4375,1,0.1307
1042,12'h412,0.6875,1,0.1306
1043,12'h413,0.1875,1,0.1306
1044,12'h414,0.8125,1,0.1305
1045,12'h415,0.3125,1,0.1306
1046,12'h416,0.5625,1,0.1304
1047,12'h417,0.0625,1,0.1304
1048,12'h418,0.8750,1,0.1305
1049,12'h419,0.3750,1,0.1305
1050,12'h41A,0.6250,1,0.1305
1051,12'h41B,0.1250,1,0.1305
1052,12'h41C,0.7500,1,0.1305
1053,12'h41D,0.2500,1,0.1305
1054,12'h41E,0.5000,1,0.1305
1055,12'h41F,0.0000,0,0.1303
1056,12'h420,0.9688,1,0.1303
1057,12'h421,0.4688,1,0.1306
1058,12'h422,0.7188,1,0.1305
1059,12'h423,0.2188,1,0.1305
1060,12'h424,0.8438,1,0.1305
1061,12'h425,0.3438,1,0.1305
1062,12'h426,0.5938,1,0.1306
1063,12'h427,0.0938,1,0.1305
1064,12'h428,0.9062,1,0.1304
1065,12'h429,0.4062,1,0.1305
1066,12'h42A,0.6562,1,0.1306
1067,12'h42B,0.1562,1,0.1305
1068,12'h42C,0.7812,1,0.1306
1069,12'h42D,0.2812,1,0.1306
1070,12'h42E,0.5312,1,0.1307
1071,12'h42F,0.0312,1,0.1306
1072,12'h430,0.9375,1,0.1306
1073,12'h431,0.4375,1,0.1307
1074,12'h432,0.6875,1,0.1305
1075,12'h433,0.1875,1,0.1306
1076,12'h434,0.8125,1,0.1305
1077,12'h435,0.3125,1,0.1306
1078,12'h436,0.5625,1,0.1304
1079,12'h437,0.0625,1,0.1304
1080,12'h438,0.8750,1,0.1305
1081,12'h439,0.3750,1,0.1305
1082,12'h43A,0.6250,1,0.1305
1083,12'h43B,0.1250,1,0.1305
1084,12'h43C,0.7500,1,0.1305
1085,12'h43D,0.2500,1,0.1305
1086,12'h43E,0.5000,1,0.1305
1087,12'h43F,0.0000,0,0.1302
1088,12'h440,0.9688,1,0.1301
1089,12'h441,0.4688,1,0.1305
1090,12'h442,0.7188,1,0.1305
1091,12'h443,0.2188,1,0.1305
1092,12'h444,0.8438,1,0.1305
1093,12'h445,0.3438,1,0.1305
1094,12'h446,0.5938,1,0.1306
1095,12'h447,0.0938,1,0.1305
1096,12'h448,0.9062,1,0.1305
1097,12'h449,0.4062,1,0.1305
1098,12'h44A,0.6562,1,0.1305
1099,12'h44B,0.1562,1,0.1305
1100,12'h44C,0.7812,1,0.1306
1101,12'h44D,0.2812,1,0.1305
1102,12'h44E,0.5312,1,0.1306
1103,12'h44F,0.0312,1,0.1305
1104,12'h450,0.9375,1,0.1305
1105,12'h451,0.4375,1,0.1306
1106,12'h452,0.6875,1,0.1305
1107,12'h453,0.1875,1,0.1306
1108,12'h454,0.8125,1,0.1305
1109,12'h455,0.3125,1,0.1305
1110,12'h456,0.5625,1,0.1305
1111,12'h457,0.0625,1,0.1305
1112,12'h458,0.8750,1,0.1306
1113,12'h459,0.3750,1,0.1306
1114,12'h45A,0.6250,1,0.1305
1115,12'h45B,0.1250,1,0.1305
1116,12'h45C,0.7500,1,0.1305
1117,12'h45D,0.2500,1,0.1305
1118,12'h45E,0.5000,1,0.1304
1119,12'h45F,0.0000,0,0.1302
1120,12'h460,0.9688,1,0.1303
1121,12'h461,0.4688,1,0.1304
1122,12'h462,0.7188,1,0.1305
1123,12'h463,0.2188,1,0.1305
1124,12'h464,0.8438,1,0.1305
1125,12'h465,0.3438,1,0.1305
1126,12'h466,0.5938,1,0.1306
1127,12'h467,0.0938,1,0.1305
1128,12'h468,0.9062,1,0.1305
1129,12'h469,0.4062,1,0.1305
1130,12'h46A,0.6562,1,0.1306
1131,12'h46B,0.1562,1,0.1305
1132,12'h46C,0.7812,1,0.1306
1133,12'h46D,0.2812,1,0.1306
1134,12'h46E,0.5312,1,0.1306
1135,12'h46F,0.0312,1,0.1304
1136,12'h470,0.9375,1,0.1305
1137,12'h471,0.4375,1,0.1306
1138,12'h472,0.6875,1,0.1305
1139,12'h473,0.1875,1,0.1306
1140,12'h474,0.8125,1,0.1305
1141,12'h475,0.3125,1,0.1306
1142,12'h476,0.5625,1,0.1305
1143,12'h477,0.0625,1,0.1305
1144,12'h478,0.8750,1,0.1306
1145,12'h479,0.3750,1,0.1306
1146,12'h47A,0.6250,1,0.1305
1147,12'h47B,0.1250,1,0.1306
1148,12'h47C,0.7500,1,0.1306
1149,12'h47D,0.2500,1,0.1306
1150,12'h47E,0.5000,1,0.1305
1151,12'h47F,0.0000,0,0.1303
1152,12'h480,0.9688,1,0.1305
1153,12'h481,0.4688,1,0.1306
1154,12'h482,0.7188,1,0.1306
1155,12'h483,0.2188,1,0.1306
1156,12'h484,0.8438,1,0.1305
1157,12'h485,0.3438,1,0.1306
1158,12'h486,0.5938,1,0.1305
1159,12'h487,0.0938,1,0.1305
1160,12'h488,0.9062,1,0.1305
1161,12'h489,0.4062,1,0.1306
1162,12'h48A,0.6562,1,0.1305
1163,12'h48B,0.1562,1,0.1306
1164,12'h48C,0.7812,1,0.1305
1165,12'h48D,0.2812,1,0.1306
1166,12'h48E,0.5312,1,0.1304
1167,12'h48F,0.0312,1,0.1303
1168,12'h490,0.9375,1,0.1303
1169,12'h491,0.4375,1,0.1304
1170,12'h492,0.6875,1,0.1305
1171,12'h493,0.1875,1,0.1305
1172,12'h494,0.8125,1,0.1305
1173,12'h495,0.3125,1,0.1305
1174,12'h496,0.5625,1,0.1306
1175,12'h497,0.0625,1,0.1305
1176,12'h498,0.8750,1,0.1305
1177,12'h499,0.3750,1,0.1305
1178,12'h49A,0.6250,1,0.1306
1179,12'h49B,0.1250,1,0.1305
1180,12'h49C,0.7500,1,0.1306
1181,12'h49D,0.2500,1,0.1306
1182,12'h49E,0.5000,1,0.1306
1183,12'h49F,0.0000,0,0.1304
1184,12'h4A0,0.9688,1,0.1305
1185,12'h4A1,0.4688,1,0.1307
1186,12'h4A2,0.7188,1,0.1305
1187,12'h4A3,0.2188,1,0.1306
1188,12'h4A4,0.8438,1,0.1305
1189,12'h4A5,0.3438,1,0.1306
1190,12'h4A6,0.5938,1,0.1306
1191,12'h4A7,0.0938,1,0.1306
1192,12'h4A8,0.9062,1,0.1306
1193,12'h4A9,0.4062,1,0.1307
1194,12'h4AA,0.6562,1,0.1305
1195,12'h4AB,0.1562,1,0.1306
1196,12'h4AC,0.7812,1,0.1305
1197,12'h4AD,0.2812,1,0.1305
1198,12'h4AE,0.5312,1,0.1304
1199,12'h4AF,0.0312,1,0.1303
1200,12'h4B0,0.9375,1,0.1304
1201,12'h4B1,0.4375,1,0.1304
1202,12'h4B2,0.6875,1,0.1305
1203,12'h4B3,0.1875,1,0.1305
1204,12'h4B4,0.8125,1,0.1306
1205,12'h4B5,0.3125,1,0.1305
1206,12'h4B6,0.5625,1,0.1307
1207,12'h4B7,0.0625,1,0.1306
1208,12'h4B8,0.8750,1,0.1305
1209,12'h4B9,0.3750,1,0.1306
1210,12'h4BA,0.6250,1,0.1305
1211,12'h4BB,0.1250,1,0.1305
1212,12'h4BC,0.7500,1,0.1306
1213,12'h4BD,0.2500,1,0.1306
1214,12'h4BE,0.5000,1,0.1307
1215,12'h4BF,0.0000,0,0.1305
1216,12'h4C0,0.9688,1,0.1306
1217,12'h4C1,0.4688,1,0.1308
1218,12'h4C2,0.7188,1,0.1306
1219,12'h4C3,0.2188,1,0.1307
1220,12'h4C4,0.8438,1,0.1305
1221,12'h4C5,0.3438,1,0.1306
1222,12'h4C6,0.5938,1,0.1305
1223,12'h4C7,0.0938,1,0.1305
1224,12'h4C8,0.9062,1,0.1305
1225,12'h4C9,0.4062,1,0.1306
1226,12'h4CA,0.6562,1,0.1305
1227,12'h4CB,0.1562,1,0.1305
1228,12'h4CC,0.7812,1,0.1305
1229,12'h4CD,0.2812,1,0.1305
1230,12'h4CE,0.5312,1,0.1305
1231,12'h4CF,0.0312,1,0.1304
1232,12'h4D0,0.9375,1,0.1304
1233,12'h4D1,0.4375,1,0.1306
1234,12'h4D2,0.6875,1,0.1305
1235,12'h4D3,0.1875,1,0.1305
1236,12'h4D4,0.8125,1,0.1305
1237,12'h4D5,0.3125,1,0.1305
1238,12'h4D6,0.5625,1,0.1306
1239,12'h4D7,0.0625,1,0.1305
1240,12'h4D8,0.8750,1,0.1305
1241,12'h4D9,0.3750,1,0.1305
1242,12'h4DA,0.6250,1,0.1306
1243,12'h4DB,0.1250,1,0.1305
1244,12'h4DC,0.7500,1,0.1307
1245,12'h4DD,0.2500,1,0.1306
1246,12'h4DE,0.5000,1,0.1308
1247,12'h4DF,0.0000,0,0.1306
1248,12'h4E0,0.9688,1,0.1305
1249,12'h4E1,0.4688,1,0.1307
1250,12'h4E2,0.7188,1,0.1306
1251,12'h4E3,0.2188,1,0.1306
1252,12'h4E4,0.8438,1,0.1305
1253,12'h4E5,0.3438,1,0.1306
1254,12'h4E6,0.5938,1,0.1305
1255,12'h4E7,0.0938,1,0.1305
1256,12'h4E8,0.9062,1,0.1305
1257,12'h4E9,0.4062,1,0.1305
1258,12'h4EA,0.6562,1,0.1305
1259,12'h4EB,0.1562,1,0.1305
1260,12'h4EC,0.7812,1,0.1305
1261,12'h4ED,0.2812,1,0.1305
1262,12'h4EE,0.5312,1,0.1305
1263,12'h4EF,0.0312,1,0.1304
1264,12'h4F0,0.9375,1,0.1304
1265,12'h4F1,0.4375,1,0.1305
1266,12'h4F2,0.6875,1,0.1305
1267,12'h4F3,0.1875,1,0.1305
1268,12'h4F4,0.8125,1,0.1305
1269,12'h4F5,0.3125,1,0.1305
1270,12'h4F6,0.5625,1,0.1305
1271,12'h4F7,0.0625,1,0.1304
1272,12'h4F8,0.8750,1,0.1305
1273,12'h4F9,0.3750,1,0.1305
1274,12'h4FA,0.6250,1,0.1307
1275,12'h4FB,0.1250,1,0.1306
1276,12'h4FC,0.7500,1,0.1307
1277,12'h4FD,0.2500,1,0.1306
1278,12'h4FE,0.5000,1,0.1307
1279,12'h4FF,0.0000,0,0.1306
1280,12'h500,0.9688,1,0.1306
1281,12'h501,0.4688,1,0.1308
1282,12'h502,0.7188,1,0.1306
1283,12'h503,0.2188,1,0.1307
1284,12'h504,0.8438,1,0.1306
1285,12'h505,0.3438,1,0.1307
1286,12'h506,0.5938,1,0.1305
1287,12'h507,0.0938,1,0.1305
1288,12'h508,0.9062,1,0.1305
1289,12'h509,0.4062,1,0.1306
1290,12'h50A,0.6562,1,0.1305
1291,12'h50B,0.1562,1,0.1306
1292,12'h50C,0.7812,1,0.1305
1293,12'h50D,0.2812,1,0.1305
1294,12'h50E,0.5312,1,0.1305
1295,12'h50F,0.0312,1,0.1304
1296,12'h510,0.9375,1,0.1304
1297,12'h511,0.4375,1,0.1305
1298,12'h512,0.6875,1,0.1305
1299,12'h513,0.1875,1,0.1305
1300,12'h514,0.8125,1,0.1305
1301,12'h515,0.3125,1,0.1305
1302,12'h516,0.5625,1,0.1305
1303,12'h517,0.0625,1,0.1304
1304,12'h518,0.8750,1,0.1305
1305,12'h519,0.3750,1,0.1305
1306,12'h51A,0.6250,1,0.1306
1307,12'h51B,0.1250,1,0.1305
1308,12'h51C,0.7500,1,0.1306
1309,12'h51D,0.2500,1,0.1306
1310,12'h51E,0.5000,1,0.1307
1311,12'h51F,0.0000,0,0.1305
1312,12'h520,0.9688,1,0.1306
1313,12'h521,0.4688,1,0.1308
1314,12'h522,0.7188,1,0.1306
1315,12'h523,0.2188,1,0.1307
1316,12'h524,0.8438,1,0.1305
1317,12'h525,0.3438,1,0.1306
1318,12'h526,0.5938,1,0.1305
1319,12'h527,0.0938,1,0.1305
1320,12'h528,0.9062,1,0.1305
1321,12'h529,0.4062,1,0.1306
1322,12'h52A,0.6562,1,0.1305
1323,12'h52B,0.1562,1,0.1305
1324,12'h52C,0.7812,1,0.1305
1325,12'h52D,0.2812,1,0.1305
1326,12'h52E,0.5312,1,0.1305
1327,12'h52F,0.0312,1,0.1304
1328,12'h530,0.9375,1,0.1305
1329,12'h531,0.4375,1,0.1306
1330,12'h532,0.6875,1,0.1305
1331,12'h533,0.1875,1,0.1305
1332,12'h534,0.8125,1,0.1305
1333,12'h535,0.3125,1,0.1305
1334,12'h536,0.5625,1,0.1306
1335,12'h537,0.0625,1,0.1305
1336,12'h538,0.8750,1,0.1305
1337,12'h539,0.3750,1,0.1305
1338,12'h53A,0.6250,1,0.1306
1339,12'h53B,0.1250,1,0.1305
1340,12'h53C,0.7500,1,0.1307
1341,12'h53D,0.2500,1,0.1306
1342,12'h53E,0.5000,1,0.1308
1343,12'h53F,0.0000,0,0.1306
1344,12'h540,0.9688,1,0.1305
1345,12'h541,0.4688,1,0.1307
1346,12'h542,0.7188,1,0.1306
1347,12'h543,0.2188,1,0.1306
1348,12'h544,0.8438,1,0.1305
1349,12'h545,0.3438,1,0.1306
1350,12'h546,0.5938,1,0.1306
1351,12'h547,0.0938,1,0.1306
1352,12'h548,0.9062,1,0.1306
1353,12'h549,0.4062,1,0.1307
1354,12'h54A,0.6562,1,0.1305
1355,12'h54B,0.1562,1,0.1306
1356,12'h54C,0.7812,1,0.1305
1357,12'h54D,0.2812,1,0.1305
1358,12'h54E,0.5312,1,0.1304
1359,12'h54F,0.0312,1,0.1304
1360,12'h550,0.9375,1,0.1303
1361,12'h551,0.4375,1,0.1304
1362,12'h552,0.6875,1,0.1305
1363,12'h553,0.1875,1,0.1305
1364,12'h554,0.8125,1,0.1306
1365,12'h555,0.3125,1,0.1305
1366,12'h556,0.5625,1,0.1307
1367,12'h557,0.0625,1,0.1306
1368,12'h558,0.8750,1,0.1305
1369,12'h559,0.3750,1,0.1306
1370,12'h55A,0.6250,1,0.1305
1371,12'h55B,0.1250,1,0.1305
1372,12'h55C,0.7500,1,0.1306
1373,12'h55D,0.2500,1,0.1305
1374,12'h55E,0.5000,1,0.1306
