Seed(Dec),Seed(Hex),Average Error,Absolute Highest Error,Correlation Score
162,12'h0A2,0.7188,1,0.1306
163,12'h0A3,0.2188,1,0.1307
164,12'h0A4,0.8438,1,0.1305
165,12'h0A5,0.3438,1,0.1306
166,12'h0A6,0.5938,1,0.1305
167,12'h0A7,0.0938,1,0.1305
168,12'h0A8,0.9062,1,0.1305
169,12'h0A9,0.4062,1,0.1306
170,12'h0AA,0.6562,1,0.1305
171,12'h0AB,0.1562,1,0.1305
172,12'h0AC,0.7812,1,0.1305
173,12'h0AD,0.2812,1,0.1305
174,12'h0AE,0.5312,1,0.1306
175,12'h0AF,0.0312,1,0.1304
176,12'h0B0,0.9375,1,0.1304
177,12'h0B1,0.4375,1,0.1305
178,12'h0B2,0.6875,1,0.1305
179,12'h0B3,0.1875,1,0.1305
180,12'h0B4,0.8125,1,0.1305
181,12'h0B5,0.3125,1,0.1305
182,12'h0B6,0.5625,1,0.1306
183,12'h0B7,0.0625,1,0.1305
184,12'h0B8,0.8750,1,0.1305
185,12'h0B9,0.3750,1,0.1305
186,12'h0BA,0.6250,1,0.1306
187,12'h0BB,0.1250,1,0.1305
188,12'h0BC,0.7500,1,0.1307
189,12'h0BD,0.2500,1,0.1306
190,12'h0BE,0.5000,1,0.1308
191,12'h0BF,0.0000,0,0.1306
192,12'h0C0,0.9688,1,0.1305
193,12'h0C1,0.4688,1,0.1307
194,12'h0C2,0.7188,1,0.1305
195,12'h0C3,0.2188,1,0.1306
196,12'h0C4,0.8438,1,0.1305
197,12'h0C5,0.3438,1,0.1305
198,12'h0C6,0.5938,1,0.1306
199,12'h0C7,0.0938,1,0.1305
200,12'h0C8,0.9062,1,0.1306
201,12'h0C9,0.4062,1,0.1307
202,12'h0CA,0.6562,1,0.1305
203,12'h0CB,0.1562,1,0.1306
204,12'h0CC,0.7812,1,0.1305
205,12'h0CD,0.2812,1,0.1305
206,12'h0CE,0.5312,1,0.1304
207,12'h0CF,0.0312,1,0.1304
208,12'h0D0,0.9375,1,0.1303
209,12'h0D1,0.4375,1,0.1304
210,12'h0D2,0.6875,1,0.1305
211,12'h0D3,0.1875,1,0.1305
212,12'h0D4,0.8125,1,0.1306
213,12'h0D5,0.3125,1,0.1305
214,12'h0D6,0.5625,1,0.1307
215,12'h0D7,0.0625,1,0.1306
216,12'h0D8,0.8750,1,0.1305
217,12'h0D9,0.3750,1,0.1306
218,12'h0DA,0.6250,1,0.1305
219,12'h0DB,0.1250,1,0.1305
220,12'h0DC,0.7500,1,0.1306
221,12'h0DD,0.2500,1,0.1305
222,12'h0DE,0.5000,1,0.1307
223,12'h0DF,0.0000,0,0.1305
224,12'h0E0,0.9688,1,0.1304
225,12'h0E1,0.4688,1,0.1306
226,12'h0E2,0.7188,1,0.1305
227,12'h0E3,0.2188,1,0.1306
228,12'h0E4,0.8438,1,0.1305
229,12'h0E5,0.3438,1,0.1306
230,12'h0E6,0.5938,1,0.1305
231,12'h0E7,0.0938,1,0.1305
232,12'h0E8,0.9062,1,0.1305
233,12'h0E9,0.4062,1,0.1306
234,12'h0EA,0.6562,1,0.1305
235,12'h0EB,0.1562,1,0.1305
236,12'h0EC,0.7812,1,0.1305
237,12'h0ED,0.2812,1,0.1305
238,12'h0EE,0.5312,1,0.1304
239,12'h0EF,0.0312,1,0.1303
240,12'h0F0,0.9375,1,0.1304
241,12'h0F1,0.4375,1,0.1304
242,12'h0F2,0.6875,1,0.1305
243,12'h0F3,0.1875,1,0.1305
244,12'h0F4,0.8125,1,0.1306
245,12'h0F5,0.3125,1,0.1305
246,12'h0F6,0.5625,1,0.1306
247,12'h0F7,0.0625,1,0.1305
248,12'h0F8,0.8750,1,0.1305
249,12'h0F9,0.3750,1,0.1305
250,12'h0FA,0.6250,1,0.1306
251,12'h0FB,0.1250,1,0.1305
252,12'h0FC,0.7500,1,0.1306
253,12'h0FD,0.2500,1,0.1306
254,12'h0FE,0.5000,1,0.1306
255,12'h0FF,0.0000,0,0.1305
256,12'h100,0.9688,1,0.1305
257,12'h101,0.4688,1,0.1306
258,12'h102,0.7188,1,0.1306
259,12'h103,0.2188,1,0.1306
260,12'h104,0.8438,1,0.1305
261,12'h105,0.3438,1,0.1306
262,12'h106,0.5938,1,0.1305
263,12'h107,0.0938,1,0.1305
264,12'h108,0.9062,1,0.1305
265,12'h109,0.4062,1,0.1307
266,12'h10A,0.6562,1,0.1305
267,12'h10B,0.1562,1,0.1306
268,12'h10C,0.7812,1,0.1305
269,12'h10D,0.2812,1,0.1306
270,12'h10E,0.5312,1,0.1304
271,12'h10F,0.0312,1,0.1304
272,12'h110,0.9375,1,0.1303
273,12'h111,0.4375,1,0.1305
274,12'h112,0.6875,1,0.1305
275,12'h113,0.1875,1,0.1305
276,12'h114,0.8125,1,0.1305
277,12'h115,0.3125,1,0.1305
278,12'h116,0.5625,1,0.1306
279,12'h117,0.0625,1,0.1305
280,12'h118,0.8750,1,0.1305
281,12'h119,0.3750,1,0.1305
282,12'h11A,0.6250,1,0.1306
283,12'h11B,0.1250,1,0.1305
284,12'h11C,0.7500,1,0.1306
285,12'h11D,0.2500,1,0.1306
286,12'h11E,0.5000,1,0.1306
287,12'h11F,0.0000,0,0.1305
288,12'h120,0.9688,1,0.1305
289,12'h121,0.4688,1,0.1307
290,12'h122,0.7188,1,0.1305
291,12'h123,0.2188,1,0.1306
292,12'h124,0.8438,1,0.1305
293,12'h125,0.3438,1,0.1305
294,12'h126,0.5938,1,0.1306
295,12'h127,0.0938,1,0.1305
296,12'h128,0.9062,1,0.1306
297,12'h129,0.4062,1,0.1307
298,12'h12A,0.6562,1,0.1305
299,12'h12B,0.1562,1,0.1306
300,12'h12C,0.7812,1,0.1305
301,12'h12D,0.2812,1,0.1305
302,12'h12E,0.5312,1,0.1304
303,12'h12F,0.0312,1,0.1303
304,12'h130,0.9375,1,0.1304
305,12'h131,0.4375,1,0.1304
306,12'h132,0.6875,1,0.1305
